year,ic,value,donor_type,description,companyId,company,date,addrStreet,addrCity,addrZip
2020,00442704,0.0,PO,dar,18630189,"PANFLEX, s.r.o.",2020-09-16,,,
2020,00442704,50000.0,PO,dar,26118963,"PASSERINVEST GROUP, a.s.",2020-09-24,,,
2020,00442704,0.0,PO,dar,26825414,PAVLAS TRUST s.r.o.,2020-09-29,,,
2020,00442704,3000.0,PO,dar,74231740,Petr Havlena,2020-02-19,,,
2020,00442704,0.0,PO,dar,11407255,Petr Veselý,2020-09-01,,,
2020,00442704,0.0,PO,dar,47709791,Petr Zdeněk,2020-09-01,,,
2020,00442704,0.0,PO,dar,66222486,"Pezlarová Dobroslava, Mgr.",2020-07-03,,,
2020,00442704,100000.0,PO,dar,5154979,Piknik box s.r.o.,2020-10-05,,,
2020,00442704,0.0,PO,dar,5650909,Pivovar Štajner a Beránek s.r.o.,2020-08-20,,,
2020,00442704,0.0,PO,dar,26307618,PK SERVIS ZLÍN s.r.o.,2020-08-23,,,
2020,00442704,0.0,PO,dar,26950171,"Plastpol, s.r.o.",2020-08-01,,,
2020,00442704,15000.0,PO,dar,8223238,PLUSMED MK a.s.,2020-09-07,,,
2020,00442704,10000.0,PO,dar,2952041,PLUSMED s.r.o.,2020-09-08,,,
2020,00442704,150000.0,PO,dar,45148678,POLABSKÉ MLÉKÁRNY a.s.,2020-12-30,,,
2020,00442704,0.0,PO,dar,25560310,"POOSLAVÍ Nová Ves, družstvo",2020-09-18,,,
2020,00442704,0.0,PO,dar,22904476,PROP z. s.,2020-08-01,,,
2020,00442704,5000.0,PO,dar,24195855,"Rada & Partner advokátní kancelář, s.r.o.",2020-03-11,,,
2020,00442704,0.0,PO,dar,4526481,Radek Ocelák,2020-09-15,,,
2020,00442704,20000.0,PO,dar,49283201,"REAL SERVIS, spol. s r.o.",2020-08-14,,,
2020,00442704,164000.0,PO,dar,1810481,"Relax centrum Kolštejn, s.r.o.",2020-07-01,,,
2020,00442704,0.0,PO,dar,27455998,"RENT BUILDINGS PLUS, s.r.o.",2020-08-01,,,
